Country Name,Country Code,Series Name,Series Code,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Kuwait,KWT,Population growth (annual %),SP.POP.GROW,3.903018525,3.80366037,-27.47078648,-22.05177875,19.04785987,2.249187074,-0.46695556,1.025271738,2.856961157,3.265677304,3.118051816,2.976878939,2.837165773,2.695812572,2.549390238,2.393818643,2.223516281,3.617419764,5.562421093,5.877544677,5.565515676,5.290953529,5.155060491,6.23757793,6.317322112,4.989674043,4.406572078,4.4991022,4.325949068,3.69493434,3.980154823,2.710713324,-0.951064117,-0.899478872
Lebanon,LBN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3934.029377,2218.626436,2752.724423,4031.194745,4595.580833,4992.698782,5301.415847,5542.22651,6054.529119,6008.758554,6120.456727,5982.417884,5958.978368,6085.760414,6207.241339,6319.765183,6633.75258,6707.180246,6696.374282,7179.345201,7701.29823,8375.488513,8955.543362,8936.200275,8920.805698,8443.538565,7830.415111,7714.11,8019.141691,8305.574054,8388.723512,8064.048734,6440.828431,5973.419339
Lebanon,LBN,Trade (% of GDP),NE.TRD.GNFS.ZS,..,109.9250886,117.905808,92.45467201,82.84425645,76.35107472,70.27211547,73.13538699,68.09661276,62.08659794,54.7171976,50.81417077,50.11529593,55.55680836,51.04253256,54.09083402,90.97279703,92.76265627,91.06939703,97.96770797,106.6256732,90.39783886,95.09665294,102.1398824,88.54550192,86.17432859,79.81715659,71.83904263,67.72361779,68.45542926,68.2573073,62.98091601,50.12980429,78.8286204
Lebanon,LBN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.195096712,3.983479419,4.971485717,6.581474477,4.821019563,1.854604213,-3.749145248,-0.783359624,4.321352183,6.076989079,3.005389494,84.86433305,154.756096
Lebanon,LBN,Population growth (annual %),SP.POP.GROW,2.02030086,2.02404239,1.963138465,2.030249164,2.11593671,1.936525255,1.793770534,1.807212876,1.852241105,1.808285017,1.758278359,1.754220087,1.725524567,1.662524958,1.389375276,1.379572825,1.616971604,1.549546607,1.69887292,1.938143808,1.663096479,1.349797119,0.976748359,1.079823792,2.704872967,9.254906493,9.992304727,1.957695836,-2.335437494,-2.610571165,-2.898842971,-3.21837129,-1.603862582,0.275364168
Libya,LBY,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,10458.67019,10940.1407,11085.94399,12541.69262,11949.2275,11274.34522,11280.38293,10839.28022,10891.80557,11284.77807,10722.87007,10643.14528,10853.80595,10467.87761,10170.30958,11267.06276,11529.10866,12628.89615,13176.77589,13712.96026,13403.00046,12549.08543,12913.93349,6569.594776,12599.25888,10126.31493,7644.248439,7458.489178,7236.164099,9435.6006,10020.91658,8768.410487,6102.79864,7733.390076
Libya,LBY,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,70.79780086,64.59637011,56.05806519,59.79211316,53.15240293,51.5917603,52.54515599,48.63241218,40.25270758,34.80163011,45.28109377,43.17344961,78.85975704,90.61273052,96.12933208,90.86088969,97.73810112,102.7323155,103.242158,107.6209305,98.07721307,63.00543529,98.22431892,106.3343609,76.52488264,56.90490733,41.11017606,47.54896619,63.7811336,78.99396919,50.97579344,164.28407
Libya,LBY,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.086956522,1.511839709,8.451462408,11.8960953,9.35975159,11.07355327,5.112598904,7.237984945,4.028077754,3.550295858,3.709273183,2.648622523,-2.9,-8.813937521,-9.797647059,-2.19115192,-2.197567741,2.650205761,1.459268762,6.25098783,10.3607289,2.459900256,2.799895001,15.51848153,6.059803922,2.605818027,2.432941416,10.40229336,25.85387421,25.80361848,13.17020385,-2.162178835,1.44703657,2.868330278
Libya,LBY,Population growth (annual %),SP.POP.GROW,2.581943904,2.451328505,2.328670286,2.206206991,2.089451972,1.977853316,1.86276943,1.743430859,1.628256686,1.536953336,1.490717335,1.49314341,1.653226142,1.841888491,1.920339978,1.994852545,2.065837117,2.10615512,2.051138853,2.055069468,2.124099597,2.083154076,2.039057706,-2.408581416,-2.617431823,2.007443919,1.926310832,1.613838978,1.523995146,1.595199924,1.623327086,1.477959507,1.348449803,1.266199795
Mauritania,MRT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1469.211947,1501.232895,1437.750482,1421.325999,1393.601055,1416.967257,1327.723041,1418.646645,1471.803309,1381.162749,1383.192297,1396.172201,1304.644391,1262.655673,1252.103005,1308.563076,1338.667681,1418.532021,1637.041913,1563.606288,1514.265501,1469.054269,1460.191797,1472.552456,1488.971776,1502.901424,1520.646216,1554.948979,1528.051523,1576.068578,1602.902256,1605.135236,1553.306156,1520.311179
